Franchise,Films,Mean [$],Total [$]
Chili Palmer,2,105163869.0,210327738.0
China O'Brien,1,0.0,0.0
Chinese Boxer,1,0.0,0.0
Cinderella,3,87863805.0,263591415.0
Cinderella Story,4,17516977.0,70067909.0
Circuitry Man,2,0.0,0.0
Cirque du Soleil,1,34153101.0,34153101.0
City Slickers,2,89516896.0,179033791.0
Clash of the Titans,2,266856570.0,533713139.0
Class of 1999,3,819965.0,2459895.0
Classmates,1,0.0,0.0
Cleopatra Jones,1,0.0,0.0
Clerks,2,15019753.0,30039506.0
Clint Eastwood's Iwo Jima,2,67286738.0,134573477.0
Cloudy with a Chance of Meatballs,2,245686544.0,491373087.0
Cocaine Cowboys,3,54333.0,163000.0
Cocoon,2,55169022.0,110338043.0
Cold Prey,3,0.0,0.0
Cold War,1,0.0,0.0
Conan the Barbarian,3,62020906.0,186062718.0
Confessions,4,0.0,0.0
Constantine,1,230884728.0,230884728.0
Contracted,2,0.0,0.0
Corto Maltese,4,0.0,0.0
Count Yorga,2,0.0,0.0
Cowgirls n' Angels,2,60340.0,120680.0
Crank,2,38745809.0,77491618.0
Creature From The Black Lagoon (Universal Series),3,433333.0,1300000.0
Creepshow,3,11676252.0,35028755.0
Critters,4,4245131.0,16980525.0
Crocodile Dundee,3,202416130.0,607248390.0
Cross,1,0.0,0.0
Cross of Iron,2,0.0,0.0
"Crouching Tiger, Hidden Dragon",2,106762868.0,213525736.0
Crows,3,0.0,0.0
Cruel Intentions,3,25300736.0,75902208.0
Cube,3,167273.0,501818.0
Curious George,3,23278272.0,69834815.0
CyberTracker,1,0.0,0.0
Cyborg 009,1,0.0,0.0
Cyborg,3,3388820.0,10166459.0
Cyborg Cop Trilogy,2,0.0,0.0
DC Super Hero Girls,2,0.0,0.0
DMB,1,0.0,0.0
Dabangg,2,0.0,0.0
Daddy Day Camp,2,91315632.0,182631265.0
Daddy's Home,1,242786137.0,242786137.0
Daffy Duck Movie,2,0.0,0.0
Dark Planet,2,13854358.0,27708716.0
Dark Rising,1,0.0,0.0
Dark Woods,2,0.0,0.0
Dark World,2,1059436.0,2118871.0
Darkman,3,16292834.0,48878502.0
Darko,2,2685261.0,5370522.0
Das Sams,2,0.0,0.0
Davy Crockett,2,0.0,0.0
Dead Rising,2,0.0,0.0
Dead Snow,2,1011068.0,2022135.0
Dead Space,2,0.0,0.0
Dead in Tombstone,1,0.0,0.0
Dead or Alive,3,0.0,0.0
Deadly Prey,1,0.0,0.0
Deadpool,1,783112979.0,783112979.0
Death Note,3,36244933.0,108734800.0
Death Note Relight,1,0.0,0.0
Death Race,3,24587505.0,73762516.0
Death Race Original,2,4000000.0,8000000.0
Death Wish,5,17129513.0,85647565.0
Deathstalker,4,2222671.0,8890685.0
Decoys,2,0.0,0.0
Demetrius Filmreihe,2,18000000.0,36000000.0
Demonic Toys,3,0.0,0.0
Demons,2,0.0,0.0
Dennis the Menace,2,58635382.0,117270765.0
Department Q series,3,1966667.0,5900000.0
Der Bockerer,1,0.0,0.0
Descendants,2,0.0,0.0
Design Trilogy,3,0.0,0.0
Despicable Me,6,615178369.0,3691070216.0
Destricted,1,0.0,0.0
Detective,2,0.0,0.0
Detective Conan,2,0.0,0.0
Detective Dee,2,62005534.0,124011068.0
Detective K,2,0.0,0.0
Detonator,1,0.0,0.0
